emp_id,first_name,last_name,gender,dob,department,site,contract,hire_date,leave_date,salary
1,William,Fournier,M,1989-12-25,Ventes,Lyon,CDD,2024-06-29,,3547
2,Martin,Auger,M,1987-01-14,Finance,Paris,CDI,2024-01-27,,3103
3,Thibaut,Wagner,M,1983-12-25,IT,Nantes,CDI,2023-01-14,,3653
4,Manon,Cousin,F,1990-05-26,IT,Paris,CDD,2025-02-15,,4266
5,Éric,Laroche,M,1970-07-23,Ventes,Lyon,CDI,2023-05-24,,3036
6,Pauline,Bonnin,F,1986-12-17,Finance,Lille,CDI,2022-06-24,2024-12-08,3036
7,Joseph,Turpin,M,1971-09-24,Marketing,Marseille,CDI,2024-09-30,,4305
8,Margaret,Regnier,F,1997-03-30,Marketing,Lille,CDI,2022-03-08,,3737
9,François,Lambert,M,1999-07-11,IT,Paris,Alternance,2024-09-10,,2871
10,Roland,Delattre,M,1966-08-21,Ventes,Lille,CDI,2022-04-05,,3579
11,Édith,Gros,F,1988-03-29,Ventes,Paris,CDI,2022-11-14,,2875
12,Théophile,Loiseau,M,1985-10-02,Ventes,Marseille,CDI,2024-08-23,,2873
13,Xavier,Grenier,M,1997-08-01,IT,Paris,CDI,2023-09-18,,3369
14,Yves,Delattre,M,1996-12-25,Ventes,Paris,CDI,2023-06-21,,1860
15,Céline,Langlois,F,1966-10-06,Ventes,Marseille,CDI,2022-10-27,,1992
16,Timothée,Gimenez,M,1992-11-14,Marketing,Lille,CDD,2022-04-18,,2806
17,Paulette,Blot,F,1972-01-24,Ventes,Lyon,Stage,2024-07-14,,2491
18,Stéphane,Jacob,M,1972-03-06,Finance,Paris,Alternance,2024-11-07,,3419
19,Lucas,Charles,M,1992-08-29,IT,Marseille,CDI,2023-09-05,,2564
20,Marie,Benard,F,1998-01-31,Ops,Nantes,CDI,2025-06-18,,2211
21,Thibaut,Riou,M,1976-11-09,Finance,Nantes,CDD,2022-03-07,,4225
22,Alix,Guibert,F,1990-06-04,RH,Paris,Stage,2025-03-24,,3041
23,Laetitia,Menard,F,1968-12-08,IT,Nantes,Alternance,2022-03-09,,3247
24,Patricia,Noël,F,1991-03-07,Marketing,Lyon,CDI,2025-04-09,,2202
25,Sébastien,Jacques,M,1995-09-08,IT,Nantes,Alternance,2025-05-18,,2818
26,Michèle,Schneider,F,1968-02-15,Finance,Lille,Alternance,2024-09-08,,3277
27,Henriette,Maurice,F,1976-11-17,Ventes,Nantes,Alternance,2024-05-21,,2394
